Erro = type:KeyError | message: 'music_not_status_data' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\RewardEvents.py', 'name': 'save_music_config', 'lineno': 3393}] | time: 22/11/2022 14:51:03 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:15:04 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:15:08 
Erro = type:FileNotFoundError | message: [Errno 2] No such file or directory: 'web/src/player/images/album.webp' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 97}, {'filename': 'C:\\Users\\jhefe\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\PIL\\Image.py', 'name': 'open', 'lineno': 3131}] | time: 22/11/2022 15:15:12 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:16 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:18 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:22 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:26 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:29 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:32 
Erro = type:AttributeError | message: module 'sys' has no attribute '_MEIPASS' | trace: [{'filename': 'c:\\Users\\jhefe\\OneDrive\\Documentos\\GitHub\\SRBRONLINE\\albumart.py', 'name': 'album_search', 'lineno': 99}] | time: 22/11/2022 15:15:34 
